frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,0,0,0.000,0.000,0.000
1,0,0,0.000,0.000,0.000
2,0,0,0.000,0.000,0.000
3,0,0,0.000,0.000,0.000
4,0,0,0.000,0.000,0.000
5,0,0,0.000,0.000,0.000
6,0,0,0.000,0.000,0.000
7,0,0,0.000,0.000,0.000
8,0,0,0.000,0.000,0.000
9,0,0,0.000,0.000,0.000
10,0,0,0.000,0.000,0.000
11,0,0,0.000,0.000,0.000
12,0,0,0.000,0.000,0.000
13,0,0,0.000,0.000,0.000
14,0,0,0.000,0.000,0.000
15,0,0,0.319,0.000,0.000
16,0,0,0.287,0.000,0.000
17,0,0,0.259,0.000,0.000
18,0,0,0.233,0.000,0.000
19,0,0,0.210,0.000,0.000
20,0,0,0.189,0.000,0.000
21,0,0,0.170,0.000,0.000
22,0,0,0.153,0.000,0.000
23,0,0,0.137,0.000,0.000
24,0,0,0.124,0.000,0.000
25,0,0,0.111,0.000,0.000
26,0,0,0.100,0.000,0.000
27,0,0,0.090,0.000,0.000
28,0,0,0.081,0.000,0.000
29,0,0,0.073,0.000,0.000
30,0,0,0.066,0.000,0.000
31,0,0,0.059,0.000,0.000
32,0,0,0.053,0.000,0.000
33,0,0,0.048,0.000,0.000
34,0,0,0.043,0.000,0.000
35,0,0,0.039,0.000,0.000
36,0,0,0.035,0.000,0.000
37,0,0,0.031,0.000,0.000
38,0,0,0.028,0.000,0.000
39,0,0,0.550,0.381,0.533
40,0,1,0.555,0.626,0.627
41,0,1,0.562,0.638,0.718
42,0,1,0.567,0.639,0.849
43,0,1,0.571,0.641,1.058
44,0,1,0.514,0.637,1.127
45,0,1,0.462,0.688,1.150
46,0,1,0.583,0.684,0.830
47,0,1,0.590,0.686,0.516
48,0,1,0.585,0.706,0.411
49,0,1,0.398,0.678,0.507
50,0,1,0.398,0.680,0.646
51,0,1,0.341,0.743,1.413
52,0,1,0.341,0.746,3.418
53,0,1,0.341,0.749,22.220
54,0,0,0.307,0.498,392.779
55,0,0,0.276,0.458,358.235
56,0,0,0.248,0.460,327.677
57,0,0,0.223,0.463,300.661
58,0,0,0.201,0.571,214.092
59,0,1,0.181,0.642,188.041
60,0,1,0.163,0.676,203.599
61,0,0,0.147,0.597,166.705
62,0,0,0.132,0.598,134.060
