frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,1,0,0.832,0.000,0.000
1,1,0,0.926,0.000,0.000
2,1,0,0.927,0.000,0.000
3,1,1,0.926,0.832,0.340
4,1,1,0.929,0.929,0.340
5,1,1,0.929,0.901,0.336
6,1,0,0.929,0.206,0.333
7,1,0,0.927,0.184,0.692
8,1,0,0.929,0.166,0.693
9,1,0,0.931,0.149,0.694
10,1,0,0.931,0.134,0.694
11,1,0,0.926,0.226,0.596
12,1,1,0.926,0.763,0.584
13,1,1,0.926,0.832,0.567
14,1,1,0.928,0.832,0.547
15,1,1,0.930,0.764,0.527
16,1,1,0.929,0.832,0.509
17,1,0,0.929,0.217,0.493
18,1,0,0.926,0.195,0.493
19,1,0,0.922,0.176,0.491
20,1,0,0.920,0.158,0.491
21,1,0,0.920,0.142,0.490
22,1,0,0.919,0.128,0.489
23,1,0,0.920,0.392,0.379
24,1,1,0.919,0.832,0.369
25,1,1,0.918,0.832,0.360
26,1,1,0.890,0.832,0.342
27,1,1,0.892,0.832,0.327
28,1,1,0.901,0.872,0.316
29,1,1,0.910,0.898,0.306
30,1,1,0.922,0.797,0.304
31,1,0,0.919,0.318,0.299
32,1,0,0.923,0.095,-0.411
33,1,0,0.920,0.086,-0.411
34,1,0,0.922,0.077,-0.411
35,1,0,0.917,0.536,-0.450
36,1,1,0.920,0.727,-0.374
37,1,1,0.915,0.875,-0.256
38,1,1,0.914,0.880,-0.152
39,1,1,0.915,0.895,-0.078
40,1,1,0.917,0.908,-0.018
41,1,1,0.920,0.855,0.034
42,1,1,0.917,0.922,0.067
43,1,0,0.921,0.248,0.086
44,1,0,0.923,0.224,0.088
45,1,0,0.923,0.201,0.091
46,1,0,0.927,0.181,0.092
47,1,0,0.927,0.394,0.117
48,1,1,0.930,0.714,0.184
49,1,1,0.931,0.894,0.201
50,1,1,0.930,0.903,0.212
51,1,1,0.931,0.903,0.221
52,1,1,0.905,0.917,0.221
53,1,1,0.929,0.912,0.228
54,1,1,0.931,0.919,0.238
55,1,1,0.929,0.926,0.247
56,1,0,0.928,0.279,0.254
57,1,0,0.927,0.251,0.255
58,1,0,0.927,0.189,-0.884
59,1,0,0.927,0.170,-0.884
60,1,0,0.904,0.153,-0.889
61,1,0,0.908,0.178,-1.122
62,1,1,0.909,0.802,-0.859
63,1,1,0.927,0.832,-0.627
64,1,1,0.929,0.832,-0.452
65,1,1,0.909,0.832,-0.335
66,1,1,0.913,0.714,-0.246
67,1,0,0.914,0.132,-0.269
68,1,0,0.919,0.119,-0.275
69,1,0,0.919,0.107,-0.281
70,1,0,0.918,0.096,-0.280
71,1,0,0.921,0.087,-0.280
72,1,0,0.916,0.347,-3.409
73,1,0,0.918,0.573,-1.907
74,1,0,0.923,0.268,-1.812
75,1,1,0.924,0.782,-1.343
76,1,1,0.930,0.832,-0.971
77,1,1,0.902,0.604,-0.786
78,1,1,0.903,0.832,-0.605
79,1,1,0.930,0.832,-0.451
80,1,1,0.929,0.749,-0.450
81,1,0,0.928,0.076,-1.411
82,1,0,0.925,0.103,-0.850
83,1,0,0.922,0.318,0.046
84,1,0,0.924,0.307,0.127
85,1,0,0.898,0.277,0.118
86,1,0,0.908,0.161,-0.525
87,1,1,0.920,0.832,-0.453
88,1,1,0.920,0.832,-0.340
89,1,1,0.921,0.832,-0.246
90,1,1,0.922,0.832,-0.184
91,1,1,0.925,0.832,-0.134
92,1,1,0.928,0.728,-0.094
93,1,0,0.930,0.439,-0.076
94,1,0,0.930,0.105,-3690.496
95,1,0,0.931,0.097,-3269.202
96,1,0,0.930,0.106,-2980.023
97,1,0,0.930,0.217,-2267.708
98,1,1,0.930,0.790,-1932.929
99,1,1,0.771,0.690,-1664.604
100,1,1,0.903,0.891,-1428.256
101,1,1,0.906,0.899,-53.657
102,1,1,0.910,0.927,-7.927
103,1,1,0.926,0.922,-3.879
104,1,1,0.925,0.901,-2.393
105,1,1,0.926,0.819,-1.656
106,1,0,0.925,0.237,-1.205
107,1,0,0.930,0.214,-1.205
108,1,0,0.910,0.192,-1.202
109,1,0,0.928,0.173,-1.202
110,1,1,0.907,0.615,-0.885
111,1,1,0.924,0.680,-0.669
112,1,1,0.908,0.900,-0.498
113,1,1,0.908,0.925,-0.374
114,1,1,0.909,0.898,-0.277
115,1,1,0.911,0.906,-0.196
116,1,0,0.913,0.420,-0.110
117,1,1,0.915,0.906,-0.055
118,1,1,0.917,0.631,-0.009
119,1,0,0.915,0.568,-0.004
120,1,0,0.916,0.511,0.001
121,1,0,0.917,0.460,0.005
122,1,0,0.916,0.414,0.010
123,1,0,0.920,0.311,-0.178
124,1,0,0.906,0.596,-0.148
125,1,1,0.921,0.922,-0.085
126,1,1,0.922,0.923,-0.039
127,1,1,0.914,0.914,0.002
128,1,1,0.917,0.927,0.045
129,1,1,0.920,0.780,0.077
130,1,0,0.917,0.435,0.105
131,1,1,0.920,0.779,0.133
132,1,0,0.921,0.447,0.151
133,1,0,0.923,0.340,0.045
134,1,0,0.925,0.267,0.031
135,1,0,0.918,0.279,0.151
136,1,1,0.919,0.832,0.162
137,1,1,0.918,0.886,0.169
138,1,1,0.918,0.847,0.191
139,1,1,0.915,0.859,0.202
140,1,1,0.916,0.853,0.213
141,1,1,0.917,0.909,0.219
